torneo,jugadorA,jugadorB,setsA,setsB,fecha,retirado,acesA,acesB,dobleFaltasA,dobleFaltasB,porcentajePrimerSaqueA,porcentajePrimerSaqueB,porcentajePuntosGanadosConPrimerSaqueA,porcentajePuntosGanadosConPrimerSaqueB,puntosGanadosConPrimerSaqueA,puntosGanadosConPrimerSaqueB,porcentajePuntosGanadosConSegundoSaqueA,porcentajePuntosGanadosConSegundoSaqueB,puntosGanadosConSegundoSaqueA,puntosGanadosConSegundoSaqueB,porcentajeBreakPointsSalvadosA,porcentajeBreakPointsSalvadosB,breakPointsSalvadosA,breakPointsSalvadosB,porcentajeBreakPointsA,porcentajeBreakPointsB,breakPointsA,breakPointsB,velocidadMediaPrimerSaqueA,velocidadMediaPrimerSaqueB,velocidadMediaSegundoSaqueA,velocidadMediaSegundoSaqueB,porcentajePuntosGanadosAlRestoConPrimerSaqueA,porcentajePuntosGanadosAlRestoConPrimerSaqueB,puntosGanadosAlRestoConPrimerSaqueA,puntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoConSegundoSaqueA,porcentajePuntosGanadosAlRestoConSegundoSaqueB,puntosGanadosAlRestoConSegundoSaqueA,puntosGanadosAlRestoConSegundoSaqueB,winnersA,winnersB,erroresNoForzadosA,erroresNoForzadosB,porcentajePuntosGanadosRedA,porcentajePuntosGanadosRedB,puntosGanadosRedA,puntosGanadosRedB,porcentajePuntosGanadosSaqueA,porcentajePuntosGanadosSaqueB,puntosGanadosSaqueA,puntosGanadosSaqueB,porcentajePuntosGanadosRestoA,porcentajePuntosGanadosRestoB,puntosGanadosRestoA,puntosGanadosRestoB,porcentajePuntosGanadosA,porcentajePuntosGanadosB,puntosGanadosA,puntosGanadosB,puntosGanadosUltimas10BolasA,puntosGanadosUltimas10BolasB,puntosDePartidoSalvadosA,puntosDePartidoSalvadosB,porcentajeJuegosGanadosSaqueA,porcentajeJuegosGanadosSaqueB,juegosGanadosSaqueA,juegosGanadosSaqueB,porcentajeJuegosGanadosRestoA,porcentajeJuegosGanadosRestoB,juegosGanadosRestoA,juegosGanadosRestoB,porcentajeJuegosGanadosA,porcentajeJuegosGanadosB,juegosGanadosA,juegosGanadosB,cuotaA,cuotaB,cuotaA_2,cuotaB_2,dobleA,dobleB,porcentajeJuegosGanadosPrimerSaqueA,juegosGanadosPrimerSaqueA,porcentajeJuegosGanadosPrimerSaqueB,juegosGanadosPrimerSaqueB,porcentajeJuegosGanadosSegundoSaqueA,JuegosGanadosSegundoSaqueA,porcentajeJuegosGanadosSegundoSaqueB,JuegosGanadosSegundoSaqueB,BreakPointsSalvadosA,BreakPointsSalvadosB,PuntosGanadosAlRestoConPrimerSaqueA,PuntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoA,PuntosGanadosAlRestoA,porcentajePuntosGanadosAlRestoB,PuntosGanadosAlRestoB,PuntosGanadosAlRestoConSegundoSaqueA,PuntosGanadosAlRestoConSegundoSaqueB,porcentajePuntosBreakConvertidosA,PuntosBreakConvertidosA,porcentajePuntosBreakConvertidosB,PuntosBreakConvertidosB,PuntosGanadosRedA,PuntosGanadosRedB,porcentajePuntosGanadosAlSaqueA,PuntosGanadosAlSaqueA,porcentajePuntosGanadosAlSaqueB,PuntosGanadosAlSaqueB,PuntosGanadosA,PuntosGanadosB,PuntosGanadosUltimas10BolasA,PuntosGanadosUltimas10BolasB,BolasDePartidoSalvadasA,BolasDePartidoSalvadasB,porcentajeJuegosGanadosAlSaqueA,JuegosGanadosAlSaqueA,porcentajeJuegosGanadosAlSaqueB,JuegosGanadosAlSaqueB,porcentajeJuegosGanadosAlRestoA,JuegosGanadosAlRestoA,porcentajeJuegosGanadosAlRestoB,JuegosGanadosAlRestoB,JuegosGanadosA,JuegosGanadosB
Wimbledon,Cobolli F.,Tabilo A.,2,3,04.07. 15:30,no,15,15,,,49%,64%,,,,,,,,,71%,70%,,,,,,,,,,,22%,22%,,,45%,39%,,,64,51,45,49,71%,62%,,,,,,,,,,,50%,51%,,,,,,,,,,,,,,,52%,48%,,,3.20,1.36,3.20,1.36,8,5,78%,(65/83),78%,(87/112),61%,(52/85),55%,(35/64),(5/7),(7/10),(25/112),(18/83),31%,(54/176),30%,(50/166),(29/64),(33/85),30%,(3/10),29%,(2/7),(32/45),(39/63),70%,(116/166),69%,(122/176),(171/342),(173/342),3,7,0,0,93%,(25/27),89%,(24/27),11%,(3/27),7%,(2/27),(28/54),(26/54)
Wimbledon,Fearnley J.,Djokovic N.,1,3,04.07. 14:40,no,13,14,,,66%,67%,,,,,,,,,43%,67%,,,,,,,,,,,20%,26%,,,44%,48%,,,42,34,49,27,68%,76%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,44%,56%,,,19.00,1.02,19.00,1.02,5,3,74%,(59/80),80%,(66/82),52%,(22/42),56%,(23/41),(3/7),(4/6),(16/82),(21/80),28%,(34/123),34%,(41/122),(18/41),(20/42),33%,(2/6),57%,(4/7),(26/38),(25/33),66%,(81/122),72%,(89/123),(115/245),(130/245),2,8,0,0,81%,(17/21),91%,(20/22),9%,(2/22),19%,(4/21),(19/43),(24/43)
Wimbledon,Machac T.,Safiullin R.,1,3,04.07. 14:40,no,3,8,,,64%,66%,,,,,,,,,33%,58%,,,,,,,,,,,21%,44%,,,62%,48%,,,30,44,44,41,59%,83%,,,,,,,,,,,45%,55%,,,,,,,,,,,,,,,41%,59%,,,2.10,1.73,2.10,1.73,2,8,57%,(44/77),79%,(61/77),52%,(23/44),38%,(15/39),(4/12),(7/12),(16/77),(34/77),34%,(40/116),45%,(54/121),(24/39),(21/44),42%,(5/12),67%,(8/12),(13/22),(15/18),55%,(67/121),66%,(76/116),(107/237),(130/237),5,5,2,0,58%,(11/19),75%,(15/20),25%,(5/20),42%,(8/19),(16/39),(23/39)
Wimbledon,Darderi L.,Musetti L.,2,3,04.07. 14:15,no,10,13,,,63%,74%,,,,,,,,,69%,57%,,,,,,,,,,,21%,31%,,,39%,51%,,,46,66,59,44,74%,74%,,,,,,,,,,,46%,54%,,,,,,,,,,,,,,,46%,54%,,,4.00,1.25,4.00,1.25,7,4,69%,(83/121),79%,(83/105),49%,(34/70),61%,(22/36),(11/16),(4/7),(22/105),(38/121),26%,(36/141),39%,(75/193),(14/36),(36/70),43%,(3/7),31%,(5/16),(43/58),(37/50),61%,(118/193),74%,(105/141),(154/334),(180/334),6,4,1,0,81%,(21/26),88%,(23/26),12%,(3/26),19%,(5/26),(24/52),(28/52)
Wimbledon,Etcheverry T. M.,Popyrin A.,2,3,04.07. 13:45,no,10,17,,,65%,71%,,,,,,,,,43%,77%,,,,,,,,,,,24%,29%,,,50%,46%,,,39,65,32,57,74%,73%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,48%,52%,,,2.20,1.67,2.20,1.67,2,8,71%,(75/106),76%,(82/108),54%,(30/56),50%,(22/44),(3/7),(10/13),(26/108),(31/106),32%,(48/152),35%,(57/162),(22/44),(26/56),23%,(3/13),57%,(4/7),(37/50),(48/66),65%,(105/162),68%,(104/152),(153/314),(161/314),5,5,1,0,83%,(20/24),88%,(21/24),13%,(3/24),17%,(4/24),(23/48),(25/48)
Wimbledon,Dimitrov G.,Shang J.,3,2,04.07. 13:40,no,19,18,,,60%,60%,,,,,,,,,33%,58%,,,,,,,,,,,26%,11%,,,45%,47%,,,57,44,42,51,68%,55%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,56%,44%,,,1.14,5.50,1.14,5.50,9,9,89%,(74/83),74%,(73/98),53%,(29/55),55%,(36/66),(1/3),(7/12),(25/98),(9/83),34%,(55/164),25%,(35/138),(30/66),(26/55),42%,(5/12),67%,(2/3),(21/31),(6/11),75%,(103/138),66%,(109/164),(158/302),(144/302),5,5,0,2,92%,(24/26),81%,(21/26),19%,(5/26),8%,(2/26),(29/52),(23/52)
Wimbledon,Shapovalov D.,Altmaier D.,3,2,04.07. 13:40,no,9,5,,,58%,57%,,,,,,,,,50%,56%,,,,,,,,,,,20%,21%,,,44%,49%,,,51,41,58,28,76%,71%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,50%,50%,,,1.13,6.00,1.13,6.00,16,2,79%,(68/86),80%,(68/85),51%,(32/63),56%,(35/63),(4/8),(5/9),(17/85),(18/86),30%,(45/148),33%,(49/149),(28/63),(31/63),44%,(4/9),50%,(4/8),(37/49),(32/45),67%,(100/149),70%,(103/148),(145/297),(152/297),6,4,0,0,84%,(21/25),84%,(21/25),16%,(4/25),16%,(4/25),(25/50),(25/50)
Wimbledon,Harris L.,Shelton B.,2,3,04.07. 13:10,no,31,14,,,73%,68%,,,,,,,,,80%,86%,,,,,,,,,,,19%,22%,,,45%,43%,,,67,68,33,47,61%,77%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,49%,51%,,,2.20,1.67,2.20,1.67,3,6,78%,(98/125),81%,(101/124),57%,(26/46),55%,(32/58),(4/5),(6/7),(23/124),(27/125),27%,(49/182),27%,(47/171),(26/58),(20/46),14%,(1/7),20%,(1/5),(42/69),(75/98),73%,(124/171),73%,(133/182),(173/353),(180/353),4,6,0,0,96%,(26/27),96%,(27/28),4%,(1/28),4%,(1/27),(27/55),(28/55)
Wimbledon,Comesana F.,Walton A.,3,2,04.07. 12:10,no,19,9,,,60%,70%,,,,,,,,,56%,64%,,,,,,,,,,,31%,27%,,,45%,43%,,,68,56,46,37,62%,74%,,,,,,,,,,,51%,49%,,,,,,,,,,,,,,,52%,48%,,,2.75,1.44,2.75,1.44,6,5,73%,(74/101),69%,(83/121),57%,(39/68),55%,(28/51),(5/9),(7/11),(38/121),(27/101),35%,(61/172),33%,(56/169),(23/51),(29/68),36%,(4/11),44%,(4/9),(34/55),(35/47),67%,(113/169),65%,(111/172),(174/341),(167/341),6,4,0,0,85%,(22/26),83%,(20/24),17%,(4/24),15%,(4/26),(26/50),(24/50)
Wimbledon,Hurkacz H.,Fils A.,1,2,04.07. 12:10,no,12,7,,,61%,63%,,,,,,,,,70%,76%,,,,,,,,,,,25%,29%,,,53%,34%,,,34,41,50,56,67%,75%,,,,,,,,,,,51%,49%,,,,,,,,,,,,,,,52%,48%,,,1.29,3.75,1.29,3.75,2,12,71%,(59/83),75%,(71/95),66%,(35/53),47%,(27/57),(7/10),(13/17),(24/95),(24/83),36%,(54/152),31%,(42/136),(30/57),(18/53),24%,(4/17),30%,(3/10),(34/51),(36/48),69%,(94/136),64%,(98/152),(148/288),(140/288),3,7,2,0,86%,(18/21),81%,(17/21),19%,(4/21),14%,(3/21),(22/42),(20/42)
Wimbledon,Munar J.,De Minaur A.,0,3,04.07. 12:05,no,3,8,,,47%,56%,,,,,,,,,53%,50%,,,,,,,,,,,29%,37%,,,44%,68%,,,21,23,36,20,54%,69%,,,,,,,,,,,41%,59%,,,,,,,,,,,,,,,32%,68%,,,19.00,1.02,19.00,1.02,9,0,63%,(26/41),71%,(32/45),32%,(15/47),56%,(20/36),(9/17),(3/6),(13/45),(15/41),36%,(29/81),53%,(47/88),(16/36),(32/47),50%,(3/6),47%,(8/17),(15/28),(22/32),47%,(41/88),64%,(52/81),(70/169),(99/169),3,7,3,0,43%,(6/14),79%,(11/14),21%,(3/14),57%,(8/14),(9/28),(19/28)
Wimbledon,Sinner J.,Berrettini M.,3,1,03.07. 19:45,no,10,28,,,65%,72%,,,,,,,,,43%,80%,,,,,,,,,,,29%,18%,,,54%,47%,,,32,65,25,48,55%,65%,,,,,,,,,,,53%,47%,,,,,,,,,,,,,,,45%,55%,,,1.20,4.50,1.20,4.50,2,3,82%,(72/88),71%,(82/116),53%,(25/47),46%,(21/46),(3/7),(8/10),(34/116),(16/88),36%,(59/162),28%,(38/135),(25/46),(22/47),20%,(2/10),57%,(4/7),(16/29),(33/51),72%,(97/135),64%,(103/162),(156/297),(141/297),7,3,0,2,82%,(18/22),91%,(20/22),9%,(2/22),18%,(4/22),(20/44),(24/44)
Wimbledon,Auger-Aliassime F.,Kokkinakis T.,2,3,03.07. 18:10,no,22,19,,,66%,63%,,,,,,,,,70%,63%,,,,,,,,,,,19%,20%,,,47%,52%,,,64,49,48,44,83%,73%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,50%,50%,,,1.36,3.20,1.36,3.20,8,4,80%,(89/111),81%,(79/97),48%,(28/58),53%,(31/58),(7/10),(5/8),(18/97),(22/111),29%,(45/155),31%,(53/171),(27/58),(30/58),38%,(3/8),30%,(3/10),(34/41),(19/26),69%,(118/171),71%,(110/155),(163/326),(163/326),5,5,1,4,89%,(24/27),89%,(24/27),11%,(3/27),11%,(3/27),(27/54),(27/54)
Wimbledon,Zhang Z.,Struff J-L.,1,3,03.07. 18:05,no,19,20,,,66%,54%,,,,,,,,,82%,67%,,,,,,,,,,,16%,18%,,,38%,56%,,,60,66,20,29,71%,74%,,,,,,,,,,,48%,52%,,,,,,,,,,,,,,,49%,51%,,,4.00,1.25,4.00,1.25,2,9,82%,(79/96),84%,(62/74),44%,(22/50),62%,(39/63),(9/11),(4/6),(12/74),(17/96),26%,(36/137),31%,(45/146),(24/63),(28/50),33%,(2/6),18%,(2/11),(22/31),(37/50),69%,(101/146),74%,(101/137),(137/283),(146/283),4,6,1,0,91%,(20/22),91%,(21/23),9%,(2/23),9%,(2/22),(22/45),(23/45)
Wimbledon,Kecmanovic M.,Griekspoor T.,3,2,03.07. 17:30,no,15,17,,,62%,58%,,,,,,,,,67%,76%,,,,,,,,,,,29%,24%,,,52%,42%,,,44,65,23,48,62%,61%,,,,,,,,,,,53%,47%,,,,,,,,,,,,,,,50%,50%,,,2.50,1.53,2.50,1.53,2,9,76%,(65/85),71%,(65/91),58%,(31/53),48%,(32/66),(8/12),(13/17),(26/91),(20/85),38%,(59/155),30%,(41/137),(34/66),(22/53),24%,(4/17),33%,(4/12),(16/26),(25/41),70%,(96/137),62%,(96/155),(155/292),(137/292),6,4,0,0,83%,(19/23),83%,(19/23),17%,(4/23),17%,(4/23),(23/46),(23/46)
Wimbledon,Evans D.,Tabilo A.,0,3,03.07. 17:05,no,5,13,,,43%,66%,,,,,,,,,56%,100%,,,,,,,,,,,17%,27%,,,42%,54%,,,27,43,29,18,75%,76%,,,,,,,,,,,42%,58%,,,,,,,,,,,,,,,34%,66%,,,2.75,1.44,2.75,1.44,7,2,73%,(30/41),83%,(49/59),46%,(25/54),58%,(18/31),(5/9),(10/10),(10/59),(11/41),26%,(24/92),42%,(40/95),(13/31),(29/54),0%,(0/10),44%,(4/9),(27/36),(13/17),58%,(55/95),74%,(68/92),(79/187),(108/187),2,8,0,0,71%,(10/14),100%,(15/15),0%,(0/15),29%,(4/14),(10/29),(19/29)
Wimbledon,Paul T.,Virtanen O.,3,2,03.07. 17:05,no,9,11,,,69%,55%,,,,,,,,,73%,64%,,,,,,,,,,,29%,21%,,,39%,43%,,,36,37,33,55,59%,60%,,,,,,,,,,,53%,47%,,,,,,,,,,,,,,,53%,47%,,,1.10,7.00,1.10,7.00,2,5,79%,(82/104),71%,(58/82),57%,(27/47),61%,(41/67),(8/11),(7/11),(24/82),(22/104),34%,(50/149),28%,(43/152),(26/67),(20/47),36%,(4/11),27%,(3/11),(22/37),(25/42),72%,(109/152),66%,(99/149),(159/301),(142/301),9,1,0,0,89%,(24/27),85%,(22/26),15%,(4/26),11%,(3/27),(28/53),(25/53)
Wimbledon,Cazaux A.,Bublik A.,0,3,03.07. 16:45,no,7,19,,,56%,64%,,,,,,,,,50%,0%,,,,,,,,,,,6%,21%,,,38%,60%,,,27,45,24,14,45%,81%,,,,,,,,,,,41%,59%,,,,,,,,,,,,,,,44%,56%,,,3.25,1.33,3.25,1.33,9,4,79%,(42/53),94%,(49/52),40%,(17/42),62%,(18/29),(2/4),(0/0),(3/52),(11/53),17%,(14/81),38%,(36/95),(11/29),(25/42),0%,(0/0),50%,(2/4),(13/29),(13/16),62%,(59/95),83%,(67/81),(73/176),(103/176),1,9,0,0,88%,(14/16),100%,(16/16),0%,(0/16),13%,(2/16),(14/32),(18/32)
Wimbledon,Sonego L.,Bautista-Agut R.,1,3,03.07. 16:45,no,18,3,,,74%,67%,,,,,,,,,43%,83%,,,,,,,,,,,26%,32%,,,40%,53%,,,59,25,45,19,70%,60%,,,,,,,,,,,46%,54%,,,,,,,,,,,,,,,43%,57%,,,2.30,1.62,2.30,1.62,4,4,68%,(57/84),74%,(59/80),47%,(14/30),60%,(24/40),(3/7),(10/12),(21/80),(27/84),30%,(36/119),38%,(42/111),(16/40),(16/30),17%,(2/12),57%,(4/7),(39/56),(15/25),62%,(69/111),70%,(83/119),(105/230),(125/230),0,10,0,0,78%,(14/18),89%,(17/19),11%,(2/19),22%,(4/18),(16/37),(21/37)
Wimbledon,Goffin D.,Machac T.,2,3,03.07. 16:25,no,10,6,,,57%,63%,,,,,,,,,63%,40%,,,,,,,,,,,42%,36%,,,51%,59%,,,54,47,51,58,58%,63%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,49%,51%,,,2.30,1.62,2.30,1.62,8,2,64%,(58/91),58%,(60/103),41%,(28/68),49%,(30/61),(15/24),(6/15),(43/103),(33/91),45%,(73/164),45%,(71/157),(31/61),(40/68),60%,(9/15),38%,(9/24),(21/36),(32/51),55%,(86/157),55%,(91/164),(159/321),(162/321),3,7,2,0,61%,(14/23),63%,(15/24),38%,(9/24),39%,(9/23),(23/47),(24/47)
Wimbledon,Nishikori K.,Rinderknech A.,2,3,03.07. 16:10,no,5,33,,,71%,69%,,,,,,,,,70%,63%,,,,,,,,,,,25%,39%,,,35%,39%,,,50,79,48,39,74%,62%,,,,,,,,,,,46%,54%,,,,,,,,,,,,,,,43%,57%,,,3.20,1.36,3.20,1.36,5,2,61%,(76/124),75%,(73/97),61%,(31/51),65%,(28/43),(14/20),(5/8),(24/97),(48/124),28%,(39/140),39%,(68/175),(15/43),(20/51),38%,(3/8),30%,(6/20),(35/47),(16/26),61%,(107/175),72%,(101/140),(146/315),(169/315),2,8,0,0,76%,(19/25),88%,(23/26),12%,(3/26),24%,(6/25),(22/51),(29/51)
Wimbledon,Pouille L.,Djere L.,3,2,03.07. 16:05,no,11,12,,,58%,63%,,,,,,,,,57%,65%,,,,,,,,,,,33%,28%,,,49%,47%,,,37,42,44,47,64%,54%,,,,,,,,,,,51%,49%,,,,,,,,,,,,,,,52%,48%,,,1.50,2.63,1.50,2.63,4,7,72%,(57/79),67%,(58/86),53%,(30/57),51%,(26/51),(8/14),(11/17),(28/86),(22/79),39%,(53/137),37%,(51/138),(25/51),(27/57),35%,(6/17),43%,(6/14),(21/33),(13/24),63%,(87/138),61%,(84/137),(140/275),(135/275),5,5,0,3,75%,(18/24),73%,(16/22),27%,(6/22),25%,(6/24),(24/46),(22/46)
Wimbledon,Ruusuvuori E.,McDonald M.,3,2,03.07. 16:00,no,14,14,,,67%,69%,,,,,,,,,50%,50%,,,,,,,,,,,28%,30%,,,40%,47%,,,66,49,81,31,67%,53%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,49%,51%,,,1.67,2.20,1.67,2.20,6,1,70%,(86/122),72%,(84/117),53%,(32/60),60%,(32/53),(4/8),(4/8),(33/117),(36/122),32%,(54/170),35%,(64/182),(21/53),(28/60),50%,(4/8),50%,(4/8),(30/45),(18/34),65%,(118/182),68%,(116/170),(172/352),(180/352),7,3,2,0,85%,(23/27),86%,(24/28),14%,(4/28),15%,(4/27),(27/55),(28/55)
Wimbledon,Safiullin R.,Cerundolo F.,3,2,03.07. 15:50,no,11,13,,,68%,61%,,,,,,,,,70%,74%,,,,,,,,,,,28%,24%,,,53%,40%,,,44,51,49,69,56%,79%,,,,,,,,,,,53%,47%,,,,,,,,,,,,,,,54%,46%,,,1.72,2.10,1.72,2.10,3,8,76%,(76/100),72%,(78/109),60%,(29/48),47%,(33/70),(7/10),(14/19),(31/109),(24/100),38%,(68/179),29%,(43/148),(37/70),(19/48),26%,(5/19),30%,(3/10),(18/32),(23/29),71%,(105/148),62%,(111/179),(173/327),(154/327),8,2,0,0,88%,(23/26),81%,(21/26),19%,(5/26),12%,(3/26),(28/52),(24/52)
Wimbledon,Alcaraz C.,Vukic A.,3,0,03.07. 15:40,no,11,2,,,66%,62%,,,,,,,,,33%,45%,,,,,,,,,,,41%,18%,,,58%,44%,,,42,19,15,22,77%,48%,,,,,,,,,,,59%,41%,,,,,,,,,,,,,,,64%,36%,,,1.03,17.00,1.03,17.00,2,2,82%,(40/49),59%,(32/54),56%,(14/25),42%,(14/33),(1/3),(5/11),(22/54),(9/49),47%,(42/89),27%,(20/74),(19/33),(11/25),55%,(6/11),67%,(2/3),(20/26),(10/21),73%,(54/74),53%,(47/89),(96/163),(67/163),5,5,0,0,86%,(12/14),57%,(8/14),43%,(6/14),14%,(2/14),(18/28),(10/28)
Wimbledon,Muller A.,Medvedev D.,1,3,03.07. 14:40,no,5,14,,,64%,64%,,,,,,,,,71%,71%,,,,,,,,,,,25%,29%,,,40%,55%,,,48,34,53,45,66%,67%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,46%,54%,,,21.00,1.02,21.00,1.02,4,5,71%,(74/104),75%,(71/95),45%,(26/58),60%,(32/53),(10/14),(5/7),(24/95),(30/104),30%,(45/148),38%,(62/162),(21/53),(32/58),29%,(2/7),29%,(4/14),(35/53),(30/45),62%,(100/162),70%,(103/148),(145/310),(165/310),4,6,1,0,83%,(19/23),91%,(21/23),9%,(2/23),17%,(4/23),(21/46),(25/46)
Wimbledon,Coric B.,Tiafoe F.,0,3,03.07. 14:10,no,6,9,,,64%,61%,,,,,,,,,50%,75%,,,,,,,,,,,13%,41%,,,52%,42%,,,23,32,30,17,59%,76%,,,,,,,,,,,44%,56%,,,,,,,,,,,,,,,36%,64%,,,2.75,1.44,2.75,1.44,1,2,59%,(34/58),87%,(45/52),58%,(19/33),48%,(16/33),(5/10),(3/4),(7/52),(24/58),28%,(24/85),42%,(38/91),(17/33),(14/33),25%,(1/4),50%,(5/10),(10/17),(13/17),58%,(53/91),72%,(61/85),(77/176),(99/176),6,4,0,0,64%,(9/14),93%,(13/14),7%,(1/14),36%,(5/14),(10/28),(18/28)
Wimbledon,Fognini F.,Ruud C.,3,1,03.07. 14:10,no,8,15,,,56%,60%,,,,,,,,,85%,38%,,,,,,,,,,,28%,28%,,,45%,50%,,,59,48,48,47,73%,60%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,58%,42%,,,4.50,1.20,4.50,1.20,10,2,72%,(68/95),72%,(58/81),50%,(37/74),55%,(29/53),(11/13),(3/8),(23/81),(27/95),35%,(47/134),38%,(63/167),(24/53),(37/74),63%,(5/8),15%,(2/13),(32/44),(29/48),62%,(104/167),65%,(87/134),(151/301),(150/301),6,4,0,3,91%,(20/22),76%,(16/21),24%,(5/21),9%,(2/22),(25/43),(18/43)
Wimbledon,Halys Q.,Eubanks C.,3,0,03.07. 14:10,no,17,9,,,66%,63%,,,,,,,,,0%,33%,,,,,,,,,,,36%,5%,,,50%,27%,,,42,18,15,19,89%,47%,,,,,,,,,,,62%,38%,,,,,,,,,,,,,,,64%,36%,,,1.80,2.00,1.80,2.00,3,4,95%,(40/42),64%,(32/50),73%,(16/22),50%,(15/30),(0/0),(2/6),(18/50),(2/42),41%,(33/80),13%,(8/64),(15/30),(6/22),67%,(4/6),0%,(0/0),(24/27),(9/19),88%,(56/64),59%,(47/80),(89/144),(55/144),9,1,0,0,100%,(14/14),71%,(10/14),29%,(4/14),0%,(0/14),(18/28),(10/28)
Wimbledon,Karatsev A.,Khachanov K.,1,2,03.07. 14:10,no,4,15,,,64%,73%,,,,,,,,,67%,100%,,,,,,,,,,,16%,25%,,,50%,52%,,,38,39,38,31,66%,63%,,,,,,,,,,,46%,54%,,,,,,,,,,,,,,,43%,57%,,,5.00,1.17,5.00,1.17,5,4,75%,(61/81),84%,(72/86),48%,(22/46),50%,(16/32),(4/6),(5/5),(14/86),(20/81),25%,(30/118),35%,(44/127),(16/32),(24/46),0%,(0/5),33%,(2/6),(23/35),(15/24),65%,(83/127),75%,(88/118),(113/245),(132/245),1,9,0,0,88%,(15/17),100%,(18/18),0%,(0/18),12%,(2/17),(15/35),(20/35)
Wimbledon,Nakashima B.,Thompson J.,3,0,03.07. 14:10,no,9,4,,,72%,56%,,,,,,,,,100%,58%,,,,,,,,,,,34%,18%,,,65%,37%,,,37,17,12,15,72%,61%,,,,,,,,,,,61%,39%,,,,,,,,,,,,,,,72%,28%,,,1.67,2.20,1.67,2.20,1,3,82%,(41/50),66%,(29/44),63%,(12/19),35%,(12/34),(2/2),(7/12),(15/44),(9/50),47%,(37/78),23%,(16/69),(22/34),(7/19),42%,(5/12),0%,(0/2),(13/18),(25/41),77%,(53/69),53%,(41/78),(90/147),(57/147),5,5,0,1,100%,(13/13),58%,(7/12),42%,(5/12),0%,(0/13),(18/25),(7/25)
Wimbledon,Van De Zandschulp B.,Humbert U.,0,3,03.07. 14:10,no,12,5,,,55%,61%,,,,,,,,,62%,67%,,,,,,,,,,,18%,28%,,,36%,61%,,,34,29,40,20,73%,83%,,,,,,,,,,,43%,57%,,,,,,,,,,,,,,,36%,64%,,,4.00,1.25,4.00,1.25,6,1,72%,(41/57),82%,(42/51),39%,(18/46),64%,(21/33),(8/13),(2/3),(9/51),(16/57),25%,(21/84),43%,(44/103),(12/33),(28/46),33%,(1/3),38%,(5/13),(16/22),(15/18),57%,(59/103),75%,(63/84),(80/187),(107/187),4,6,3,0,64%,(9/14),93%,(13/14),7%,(1/14),36%,(5/14),(10/28),(18/28)
Wimbledon,Fritz T.,O'Connell C.,3,0,02.07. 20:40,no,18,3,,,60%,64%,,,,,,,,,100%,38%,,,,,,,,,,,41%,5%,,,63%,32%,,,45,17,13,23,77%,40%,,,,,,,,,,,64%,36%,,,,,,,,,,,,,,,72%,28%,,,1.05,11.00,1.05,11.00,2,2,95%,(36/38),59%,(33/56),68%,(17/25),38%,(12/32),(2/2),(3/8),(23/56),(2/38),49%,(43/88),16%,(10/63),(20/32),(8/25),63%,(5/8),0%,(0/2),(10/13),(8/20),84%,(53/63),51%,(45/88),(96/151),(55/151),6,4,0,0,100%,(13/13),58%,(7/12),42%,(5/12),0%,(0/13),(18/25),(7/25)
Wimbledon,Norrie C.,Diaz Acosta F.,3,0,02.07. 19:50,no,4,3,,,68%,65%,,,,,,,,,20%,38%,,,,,,,,,,,46%,24%,,,55%,46%,,,22,23,34,50,83%,56%,,,,,,,,,,,57%,43%,,,,,,,,,,,,,,,61%,39%,,,1.04,13.00,1.04,13.00,5,7,76%,(41/54),54%,(38/70),54%,(14/26),45%,(17/38),(1/5),(5/13),(32/70),(13/54),49%,(53/108),31%,(25/80),(21/38),(12/26),62%,(8/13),80%,(4/5),(24/29),(10/18),69%,(55/80),51%,(55/108),(108/188),(80/188),6,4,0,0,75%,(12/16),53%,(9/17),47%,(8/17),25%,(4/16),(20/33),(13/33)
Wimbledon,Cobolli F.,Hijikata R.,3,1,02.07. 19:05,no,13,12,,,48%,57%,,,,,,,,,67%,78%,,,,,,,,,,,26%,25%,,,54%,38%,,,58,38,36,36,52%,55%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,55%,45%,,,2.10,1.73,2.10,1.73,2,6,75%,(46/61),74%,(63/85),62%,(40/65),46%,(29/63),(4/6),(14/18),(22/85),(15/61),38%,(56/148),32%,(40/126),(34/63),(25/65),22%,(4/18),33%,(2/6),(14/27),(21/38),68%,(86/126),62%,(92/148),(142/274),(132/274),5,5,0,3,90%,(19/21),81%,(17/21),19%,(4/21),10%,(2/21),(23/42),(19/42)
